text,label
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and nausea,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and nausea,migraine
I have nausea and sensitivity to light,migraine
I have severe headache and nausea,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have nausea and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have nausea and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and nausea,migraine
I have nausea and severe headache,migraine
I have nausea and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have sensitivity to light and severe headache,migraine
I have sensitivity to light and nausea,migraine
I have sensitivity to light and severe headache,migraine
I have severe headache and sensitivity to light,migraine
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have left arm pain and chest pain,heart
I have chest pain and left arm pain,heart
I have chest pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and left arm pain,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have chest pain and left arm pain,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and left arm pain,heart
I have chest pain and left arm pain,heart
I have chest pain and left arm pain,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and left arm pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and left arm pain,heart
I have chest pain and left arm pain,heart
I have shortness of breath and left arm pain,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have chest pain and left arm pain,heart
I have chest pain and left arm pain,heart
I have left arm pain and chest pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have chest pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and chest pain,heart
I have chest pain and left arm pain,heart
I have shortness of breath and left arm pain,heart
I have chest pain and left arm pain,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and left arm pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have left arm pain and chest pain,heart
I have chest pain and left arm pain,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have chest pain and left arm pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have chest pain and shortness of breath,heart
I have left arm pain and chest pain,heart
I have left arm pain and shortness of breath,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and left arm pain,heart
I have left arm pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have chest pain and shortness of breath,heart
I have chest pain and left arm pain,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and chest pain,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and left arm pain,heart
I have shortness of breath and chest pain,heart
I have shortness of breath and left arm pain,heart
I have left arm pain and chest pain,heart
I have shortness of breath and left arm pain,heart
I have chest pain and shortness of breath,heart
I have shortness of breath and chest pain,heart
I have blurred vision and frequent urination,diabetes
I have blurred vision and frequent urination,diabetes
I have frequent urination and thirst,diabetes
I have blurred vision and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have blurred vision and fatigue,diabetes
I have thirst and frequent urination,diabetes
I have thirst and fatigue,diabetes
I have thirst and fatigue,diabetes
I have fatigue and blurred vision,diabetes
I have thirst and blurred vision,diabetes
I have frequent urination and thirst,diabetes
I have thirst and fatigue,diabetes
I have fatigue and thirst,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and blurred vision,diabetes
I have fatigue and frequent urination,diabetes
I have thirst and fatigue,diabetes
I have thirst and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have blurred vision and thirst,diabetes
I have blurred vision and frequent urination,diabetes
I have thirst and frequent urination,diabetes
I have blurred vision and fatigue,diabetes
I have blurred vision and fatigue,diabetes
I have blurred vision and frequent urination,diabetes
I have frequent urination and fatigue,diabetes
I have blurred vision and fatigue,diabetes
I have thirst and fatigue,diabetes
I have fatigue and blurred vision,diabetes
I have blurred vision and frequent urination,diabetes
I have fatigue and blurred vision,diabetes
I have blurred vision and fatigue,diabetes
I have frequent urination and thirst,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and thirst,diabetes
I have frequent urination and fatigue,diabetes
I have blurred vision and fatigue,diabetes
I have fatigue and thirst,diabetes
I have fatigue and frequent urination,diabetes
I have fatigue and frequent urination,diabetes
I have thirst and blurred vision,diabetes
I have blurred vision and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have thirst and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and blurred vision,diabetes
I have blurred vision and fatigue,diabetes
I have fatigue and frequent urination,diabetes
I have thirst and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have blurred vision and fatigue,diabetes
I have thirst and fatigue,diabetes
I have frequent urination and blurred vision,diabetes
I have thirst and blurred vision,diabetes
I have fatigue and blurred vision,diabetes
I have frequent urination and thirst,diabetes
I have thirst and fatigue,diabetes
I have blurred vision and frequent urination,diabetes
I have thirst and blurred vision,diabetes
I have fatigue and blurred vision,diabetes
I have fatigue and blurred vision,diabetes
I have frequent urination and blurred vision,diabetes
I have frequent urination and fatigue,diabetes
I have thirst and fatigue,diabetes
I have fatigue and frequent urination,diabetes
I have thirst and blurred vision,diabetes
I have frequent urination and blurred vision,diabetes
I have fatigue and thirst,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and thirst,diabetes
I have thirst and blurred vision,diabetes
I have blurred vision and fatigue,diabetes
I have blurred vision and frequent urination,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have blurred vision and thirst,diabetes
I have blurred vision and thirst,diabetes
I have thirst and blurred vision,diabetes
I have blurred vision and fatigue,diabetes
I have blurred vision and fatigue,diabetes
I have fatigue and frequent urination,diabetes
I have frequent urination and blurred vision,diabetes
I have thirst and fatigue,diabetes
I have blurred vision and frequent urination,diabetes
I have thirst and fatigue,diabetes
I have fatigue and thirst,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and blurred vision,diabetes
I have frequent urination and fatigue,diabetes
I have thirst and blurred vision,diabetes
I have frequent urination and thirst,diabetes
I have fatigue and blurred vision,diabetes
I have thirst and blurred vision,diabetes
I have fatigue and blurred vision,diabetes
I have blurred vision and thirst,diabetes
I have frequent urination and thirst,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and fatigue,diabetes
I have blurred vision and fatigue,diabetes
I have thirst and blurred vision,diabetes
I have fatigue and blurred vision,diabetes
I have fatigue and thirst,diabetes
I have frequent urination and blurred vision,diabetes
I have frequent urination and blurred vision,diabetes
I have frequent urination and fatigue,diabetes
I have frequent urination and fatigue,diabetes
